model,RMSE,MAE,MAPE,R2,city
Persistence,110.816,72.654,101.498,0.892,riyadh
Climatology,44.479,20.924,13.593,0.9826,riyadh
LinearRegression,27.522,15.047,11.854000091552734,0.9933,riyadh
Ridge,27.466,14.903,11.694999694824219,0.9934,riyadh
RandomForest,25.71,9.0,4.697,0.9942,riyadh
XGBoost,25.739,9.295,5.7820000648498535,0.9942,riyadh
Persistence,102.987,67.548,90.854,0.8969,cairo
Climatology,45.616,18.758,14.723,0.9798,cairo
LinearRegression,36.464,18.596,17.33099937438965,0.9871,cairo
Ridge,36.349,18.421,16.98699951171875,0.9872,cairo
RandomForest,32.905,12.317,7.182,0.9895,cairo
XGBoost,31.767,12.175,7.741000175476074,0.9902,cairo
Persistence,79.867,50.637,105.372,0.907,istanbul
Climatology,70.515,35.401,36.844,0.9275,istanbul
LinearRegression,59.213,36.092,54.68600082397461,0.9489,istanbul
Ridge,59.173,36.141,54.38600158691406,0.949,istanbul
RandomForest,46.889,20.152,17.81,0.968,istanbul
XGBoost,48.91,21.392,20.740999221801758,0.9651,istanbul
Persistence,86.669,54.996,97.325,0.8832,new_delhi
Climatology,82.17,39.731,37.949,0.895,new_delhi
LinearRegression,60.89,34.494,39.8489990234375,0.9423,new_delhi
Ridge,60.867,34.322,39.56999969482422,0.9424,new_delhi
RandomForest,55.233,23.42,20.373,0.9525,new_delhi
XGBoost,58.292,24.998,22.367000579833984,0.9471,new_delhi
Persistence,99.193,64.789,109.909,0.8874,dubai
Climatology,36.565,16.538,13.933,0.9847,dubai
LinearRegression,26.744,13.433,13.373000144958496,0.9918,dubai
Ridge,26.374,12.834,11.819000244140625,0.992,dubai
RandomForest,25.914,10.447,6.606,0.9923,dubai
XGBoost,27.158,10.556,7.497000217437744,0.9916,dubai
Persistence,58.303,36.435,70.334,0.9146,london
Climatology,77.618,38.86,45.413,0.8487,london
LinearRegression,59.976,32.595,42.96699905395508,0.9096,london
Ridge,60.157,32.321,41.27000045776367,0.9091,london
RandomForest,53.069,25.777,24.957,0.9293,london
XGBoost,52.885,25.927,25.67300033569336,0.9297,london
Persistence,92.63,58.121,94.551,0.8911,sydney
Climatology,93.223,47.644,36.162,0.8897,sydney
LinearRegression,81.575,50.424,43.612998962402344,0.9156,sydney
Ridge,81.25,50.263,43.83000183105469,0.9162,sydney
RandomForest,64.304,28.537,19.895,0.9475,sydney
XGBoost,68.094,30.796,22.538000106811523,0.9412,sydney
Persistence,80.953,50.937,106.653,0.8892,tokyo
Climatology,96.891,51.502,43.064,0.8413,tokyo
LinearRegression,70.914,44.728,59.28200149536133,0.915,tokyo
Ridge,70.746,44.72,59.375999450683594,0.9154,tokyo
RandomForest,59.006,28.363,21.406,0.9411,tokyo
XGBoost,60.006,28.65,23.83099937438965,0.9391,tokyo
Persistence,97.528,63.284,85.916,0.901,los_angeles
Climatology,74.42,33.285,25.072,0.9423,los_angeles
LinearRegression,52.993,26.865,21.052000045776367,0.9708,los_angeles
Ridge,53.074,26.891,21.000999450683594,0.9707,los_angeles
RandomForest,38.89,16.052,10.087,0.9843,los_angeles
XGBoost,39.432,16.796,10.894000053405762,0.9838,los_angeles
Persistence,104.781,67.742,162.58,0.8815,nairobi
Climatology,75.966,38.744,21.616,0.9377,nairobi
LinearRegression,67.741,40.337,67.23600006103516,0.9505,nairobi
Ridge,67.698,39.747,61.20800018310547,0.9505,nairobi
RandomForest,57.683,28.849,15.123,0.9641,nairobi
XGBoost,60.529,30.33,19.038999557495117,0.9604,nairobi
