feature,consensus,xgboost,rf,mi,selected
clearsky_x_kt,1.0000000059604646,1.0,1.0,1.0,True
clear_sky_ghi,0.18277155844088777,0.26487046,1.0038907329960806e-05,0.30727942964996335,True
GHI_lag24,0.1385204139170292,0.24833043,1.1699833368925458e-09,0.15675294943457438,True
GHI_lag1,0.06878512311062242,0.08065803,4.3343150042345344e-10,0.1460876293106993,True
GHI_roll6_std,0.06195467361078741,0.03253671,1.744343309679575e-09,0.19575995427604953,False
ghi_trend_ratio,0.05611800891589913,0.055997804,4.0446236931022435e-10,0.13487554751561934,False
hour_sin,0.0336054916079419,0.03198722,0.0,0.08324241211834635,True
GHI_lag48,0.032637599266689354,2.332213e-05,1.004366097485994e-09,0.1305130802499084,False
clear_sky_ghi_lag1,0.03190516192313952,0.002396011,2.7741450758698564e-10,0.12378702952195753,False
clearness_index,0.02249577131143124,0.0425146,1.1507805702822633e-09,0.02195972236897282,True
clear_sky_ghi_lag2,0.020286625967879692,0.000516452,1.2819928727628837e-10,0.08032018046175457,False
GHI_lag2,0.019714014916209235,3.0278487e-05,1.6517756566762905e-10,0.07880761385588424,False
GHI_roll3_std,0.017322302731006822,0.00047013172,1.6086057787820778e-09,0.06853699788029079,False
hour_cos,0.016345051161744558,6.461736e-05,5.255112577153881e-12,0.06527681686897063,True
clearness_index_roll3_mean,0.016021728650576723,0.015734676,1.3138477644702188e-09,0.03891143072823679,False
clearness_index_roll6_mean,0.015873939375687665,3.1276173e-05,4.839196083261374e-10,0.06344571494611428,False
clear_sky_ghi_lag3,0.014185427339826069,0.00019309198,2.933337396631237e-10,0.05643276177662113,False
GHI_lag3,0.012032317881555052,2.1011134e-05,6.17483593813167e-11,0.048095653623401825,False
GHI_roll24_mean,0.008618066664887692,0.0035468715,5.08739286139008e-10,0.028797271396670415,False
clearness_index_lag2,0.007764847181703406,4.0586474e-05,2.7945741656769627e-10,0.030994449977309196,False
clearness_index_lag1,0.007486602542776326,9.2455586e-05,2.0814859052030526e-10,0.029798480944803706,False
clearness_index_lag3,0.006622269922471979,2.2107326e-05,1.7389959200933412e-10,0.02645370772409512,False
GHI_lag6,0.006466507917881793,2.9989304e-05,1.540449897597756e-10,0.025818048570856674,False
GHI_lag12,0.006447314568169448,0.0,2.156548030842244e-10,0.025789257970761068,False
clearness_index_roll6_std,0.006236774363251776,6.3197076e-05,4.802151917007396e-10,0.02484598145896533,False
temperature,0.006224319205258866,6.994178e-06,8.423863236353768e-10,0.024886084956949522,False
clearness_index_roll3_std,0.0059721905381514215,3.1417185e-05,3.1901203439376567e-10,0.023838494210308238,False
humidity,0.0058335130543012495,7.349892e-06,7.834097121369033e-10,0.023322291293001333,False
doy_cos,0.004634282073905316,1.6527178e-05,8.131910359733023e-10,0.018510683673278332,True
clearness_index_lag12,0.004531416826717682,4.5428375e-10,2.6584642930905266e-10,0.018125666207831705,False
clearness_index_roll24_mean,0.00427244395002853,0.00013608651,8.636560847784539e-10,0.016872036160630613,False
doy_sin,0.003453631657693735,1.1184344e-05,4.938977596422937e-10,0.013796630988957434,True
temp_x_humidity,0.0029607236811741346,7.827037e-06,7.91424656995089e-10,0.011830370357600293,False
clearness_index_roll24_std,0.0018466674421058192,2.1915024e-05,6.986566182244416e-10,0.007351604750028255,False
pressure,0.001167950918705976,6.2121626e-06,6.445913832649758e-10,0.004661863312253918,False
clearness_index_lag24,0.0010285293804431638,3.7363057e-05,8.59718643403095e-10,0.004054335424231896,False
wind_x_humidity,0.0008106490194114543,9.503902e-06,1.1665197951097959e-09,0.003227388200602504,False
clearness_index_lag6,0.0007754023712423956,2.4277811e-05,3.3822584651313107e-10,0.0030627645109305695,False
wind_speed,0.0006740277815668867,7.073894e-06,5.168752197802972e-10,0.002684792172179164,False
clearness_index_lag48,0.0006089908079177988,1.488025e-05,8.348186507158845e-10,0.002412153661687027,False
precipitation,3.3850329256259803e-06,8.4624935e-06,1.0150514462296833e-10,0.0,False
